2.221;0;0;0;12.7;-40;28.4;-72.7;-0.1;0;0;0
2.244;0;0;0;12.7;-35;28.4;-79.3;-0.1;0;0;0
2.264;0;0;0;12.7;-31;28.4;-70.4;-0.1;0;0;0
2.278;0;0;0;12.8;-29;28.4;-70.4;-0.1;0;0;0
2.303;0;0;0;12.7;-24;28.4;-68.6;-0.1;0;0;0
2.321;0;0;0;12.8;-21;28.4;-70.4;-0.1;0;0;0
2.343;0;0;0.67;12.8;13;28.4;-79.3;1.2;0;0;0
2.361;0.256;0.02;2.85;12.8;79;28.4;-67;0.9;0;0;0
2.381;0.127;0.01;2.19;12.7;143;28.4;-68.6;0.9;0;0;0
2.404;0.127;0.01;1.98;12.7;205;28.4;-77.2;0.9;0;0;0
2.423;0.127;0.01;1.86;12.7;257;28.4;-70.4;0.9;0;0;0
2.441;0.127;0.01;1.73;12.7;300;28.4;-79.3;1;0;0;0
2.462;0.128;0.01;1.8;12.8;331;28.4;-68.6;1;0;0;0
2.486;0.128;0.01;2.11;12.8;350;28.4;-68.6;0.9;0;0;0
2.498;0.127;0.01;2.32;12.7;354;28.4;-71.5;0.9;0;0;0
2.52;0.254;0.02;2.34;12.7;369;28.4;-67;0.9;0;0;0
2.542;0.128;0.01;2.26;12.8;388;28.4;-75.5;1;0;0;0
2.561;0.127;0.01;2.15;12.7;408;28.4;-67;1;0;0;0
2.579;0.127;0.01;2.1;12.7;428;28.4;-67.7;0.9;0;0;0
2.602;0.128;0.01;2.17;12.8;434;28.4;-77.2;0.9;0;0;0
2.625;0.256;0.02;2.4;12.8;428;28.4;-77.2;0.9;0;0;0
2.641;0.256;0.02;2.48;12.8;430;28.4;-77.2;1;0;0;0
2.661;0.256;0.02;2.46;12.8;436;28.4;-68.6;1;0;0;0
2.683;0.252;0.02;2.4;12.6;446;28.4;-67;1;0;0;0
2.704;0.256;0.02;2.23;12.8;461;28.4;-67.7;1;0;0;0
2.719;0.128;0.01;2.17;12.8;464;28.4;-72.7;1.1;0;0;0
2.74;0.254;0.02;2.41;12.7;455;28.4;-75.5;1;0;0;0
2.761;0.254;0.02;2.6;12.7;449;28.4;-67;1;0;0;0
2.779;0.254;0.02;2.64;12.7;447;28.4;-75.5;1;0;0;0
2.805;0.254;0.02;2.47;12.7;454;28.4;-68.6;1.1;0;0;0
2.821;0.256;0.02;2.41;12.8;462;28.4;-67.7;1;0;0;0
2.844;0.256;0.02;2.28;12.8;472;28.4;-79.3;1.1;0;0;0
2.858;0.256;0.02;2.48;12.8;472;28.4;-85.3;0.9;0;0;0
2.879;0.256;0.02;2.55;12.8;462;28.4;-69.5;1;0;0;0
2.901;0.256;0.02;2.68;12.8;456;28.4;-67;1;0;0;0
2.921;0.254;0.02;2.61;12.7;459;28.4;-71.5;1;0;0;0
2.941;0.254;0.02;2.52;12.7;465;28.4;-75.5;1;0;0;0
2.961;0.254;0.02;2.38;12.7;477;28.4;-67;1;0;0;0
2.979;0.256;0.02;2.34;12.8;480;28.4;-67;1.1;0;0;0
2.999;0.254;0.02;2.57;12.7;467;28.4;-69.5;1;0;0;0
3.021;0.256;0.02;2.74;12.8;459;28.4;-75.5;1;0;0;0
3.041;0.256;0.02;2.72;12.8;457;28.4;-77.2;1.1;0;0;0
3.064;0.254;0.02;2.63;12.7;464;28.4;-67;1.1;0;0;0
3.078;0.256;0.02;2.53;12.8;470;28.4;-68.6;1.1;0;0;0
3.099;0.256;0.02;2.45;12.8;477;28.4;-68.6;1;0;0;0
3.124;0.256;0.02;2.53;12.8;468;28.5;-77.2;1;0;0;0
3.137;0.256;0.02;2.83;12.8;463;28.5;-77.2;1;0;0;0
3.161;0.256;0.02;2.83;12.8;458;28.5;-77.2;0.9;0;0;0
3.181;0.254;0.02;2.75;12.7;462;28.5;-68.6;0.9;0;0;0
